# metric_direction: higher_is_better
iteration|timestamp|category|research_question|status|source|insight_problem|insight_mechanism|confidence|classification
1|2026-06-20T16:14:00Z|ICP challenges|What pain points do API developers face with state persistence in desktop API clients?|completed|websearch|API developers expect zero data loss from desktop tools. IndexedDB quota failures silently lose unsaved work. Cross-tab state divergence erodes trust in mock server configuration.|Implement synchronous write-through with retry queue (already done) + visible sync status indicator. Developers need to know when persistence fails.|HIGH|New
2|2026-06-20T16:14:00Z|Competitor gaps|How does Postman handle state persistence and mock server configuration?|completed|websearch|Postman mock servers are cloud-dependent; local mock server feature added March 2026. Postman's MCP server enables AI agent integration, but state is server-side. No offline-first architecture.|Reqly's Tauri-based local-first architecture is a genuine differentiator vs Postman's cloud dependency. Local mock servers + offline persistence are competitive moats.|HIGH|New
3|2026-06-20T16:14:00Z|Market trends|What are emerging patterns for state management in Tauri desktop apps?|completed|websearch|Zustand is the dominant state management pattern in Tauri v2 apps. Bundle sizes: Tauri 3-15MB vs Electron 80-200MB. Developers prefer lightweight, secure, offline-capable tools.|Reqly's store factory aligns with Tauri ecosystem patterns. Middleware composability follows Zustand-style architecture. The 0.65KB overhead is negligible for the Tauri app context.|HIGH|New
4|2026-06-20T16:14:00Z|UX & experience|How does data loss affect developer trust in API tools?|completed|websearch|Silent data loss is the #1 trust killer for developer tools. Developers will abandon tools that lose work. Visible sync state and clear error messaging are table stakes.|Add observable SyncState with warning banner for persistence failures. Make retry attempts visible. Never silently swallow errors.|MEDIUM|New
5|2026-06-20T16:14:00Z|Revenue & growth|What monetization strategies work for open-source API clients?|completed|websearch|Open core + managed hosting is the standard model. Freemium converts at 2-5%. API economy is +. Enterprise tier with SSO, team management, audit logging.|Reqly can monetize via team/collaboration features, enterprise SSO, and managed cloud sync — leaving the core local-first store free and open source.|MEDIUM|New
6|2026-06-20T16:14:00Z|ICP challenges|How do offline-first patterns apply to desktop API clients?|completed|websearch|Developers demand offline-first from desktop tools. Local-first (Bruno, Mockoon) is gaining share vs cloud-dependent (Postman). LWW conflict resolution is sufficient for single-user scenarios. Reqly's Tauri architecture is a competitive advantage.|Double down on local-first positioning. visible sync state. LWW for v1 (already decided). integrate with Tauri's native fs for persistence.|HIGH|Extension
7|2026-06-20T16:14:00Z|Competitor gaps|What are the strengths and weaknesses of Postman mock server alternatives?|completed|websearch|Mockoon leads local desktop mocks (open source). WireMock dominates enterprise. Postman added local mock servers March 2026. Bruno (Git-based local-first) is Postman's strongest challenger. No competitor combines Tauri-native performance + local mock server + cross-tab sync.|Reqly's Tauri native + local mock server + cross-tab BroadcastChannel sync is a unique moat. Position as 'offline-first API client with Tauri-native performance'.|HIGH|New
8|2026-06-20T16:14:00Z|Market trends|What are the proven patterns for Zustand-style store architecture in 2026?|completed|websearch|Zustand's useSyncExternalStore + useShallow is the proven pattern for selector-based subscriptions. Shallow equality prevents spurious re-renders. Custom stores built on useSyncExternalStore follow established patterns. Our createStoreFactory aligns exactly with this approach.|Keep createStoreFactory aligned with Zustand patterns. The middleware composability is our differentiator, not the store core.|MEDIUM|Extension
9|2026-06-20T16:14:00Z|UX & experience|How does data loss prevention affect developer trust in tools?|completed|websearch|Silent data loss is the #1 trust killer. Developers will abandon tools that lose unsaved work. Visible sync state, clear error messaging, and predictable recovery are table stakes.|Observable SyncState is the minimum. Warning banner on persistence failure. Auto-retry with exponential backoff. Never silently swallow errors.|HIGH|Extension
10|2026-06-20T16:14:00Z|UX & experience|What recovery strategies build developer trust in desktop tools?|completed|websearch|Developers prioritize tools that don't lose work. Optimistic UI + transparent error recovery builds trust. Bruno's Git-based storage model is the gold standard for local-first trust.|Add undo support for store mutations. Git-based history export. SyncState observable in UI footer.|MEDIUM|New
